Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05092_front-ispice_2r (OT)	2,18E+11	VUA005000001_0013_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/54	54	55.jpg	/bis/image/55.jpg	a
XP.05092_front-ispice_2v (OT)	2,18E+11	VUA005000001_0014_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/55	55	56.jpg	/bis/image/56.jpg	f
XP.05092_opdracht_r (OT)	2,18E+11	VUA005000001_0015_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/56	56	57.jpg	/bis/image/57.jpg	c
XP.05092_opdracht_v (OT)	2,18E+11	VUA005000001_0016_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/57	57	58.jpg	/bis/image/58.jpg	f
XP.05092_001 (OT) (verkeerd gebonden)	2,18E+11	VUA005000001_0017_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/58	58	59.jpg	/bis/image/59.jpg	c
XP.05092_002 (OT) (verkeerd gebonden)	2,18E+11	VUA005000001_0018_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/59	59	60.jpg	/bis/image/60.jpg	e
XP.05092_002a (OT)	2,18E+11	VUA005000001_0019_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/60	60	61.jpg	/bis/image/61.jpg	1
XP.05092_002b (OT)	2,18E+11	VUA005000001_0020_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/61	61	62.jpg	/bis/image/62.jpg	1
XP.05092_003 (OT) (verkeerd gebonden)	2,18E+11	VUA005000001_0021_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/62	62	63.jpg	/bis/image/63.jpg	1
XP.05092_004 (OT) (verkeerd gebonden)	2,18E+11	VUA005000001_0022_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/63	63	64.jpg	/bis/image/64.jpg	1
XP.05092_004a (OT)	2,18E+11	VUA005000001_0023_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/64	64	65.jpg	/bis/image/65.jpg	1
XP.05092_004b (OT)	2,18E+11	VUA005000001_0024_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/65	65	66.jpg	/bis/image/66.jpg	1
XP.05092_005 (OT)	2,18E+11	VUA005000001_0025_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/66	66	67.jpg	/bis/image/67.jpg	1
XP.05092_006 (OT)	2,18E+11	VUA005000001_0026_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/67	67	68.jpg	/bis/image/68.jpg	1
XP.05092_006a (OT)	2,18E+11	VUA005000001_0027_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/68	68	69.jpg	/bis/image/69.jpg	1
XP.05092_006b (OT)	2,18E+11	VUA005000001_0028_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/69	69	70.jpg	/bis/image/70.jpg	1
XP.05092_007 (OT)	2,18E+11	VUA005000001_0029_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/70	70	71.jpg	/bis/image/71.jpg	1
XP.05092_008 (OT)	2,18E+11	VUA005000001_0030_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/71	71	72.jpg	/bis/image/72.jpg	1
XP.05092_008a (OT)	2,18E+11	VUA005000001_0031_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/72	72	73.jpg	/bis/image/73.jpg	1
XP.05092_008b (OT)	2,18E+11	VUA005000001_0032_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/73	73	74.jpg	/bis/image/74.jpg	1
